key,shape,shvit_mean,dhvit_mean,l1_diff,l2_diff,max_diff
blocks1.0.conv.m.bn.running_mean,[128],-0.021256955340504646,-0.021347133442759514,0.005015198141336441,0.007182749919593334,0.024508178234100342
blocks1.0.conv.m.bn.running_var,[128],0.7699236869812012,0.7716506123542786,0.023087287321686745,0.0368352010846138,0.15681666135787964
blocks1.0.ffn.m.pw1.bn.running_mean,[256],-0.5593001842498779,-0.5592858195304871,0.000321805477142334,0.0004170041938778013,0.0013967156410217285
blocks1.0.ffn.m.pw1.bn.running_var,[256],12.307098388671875,12.167847633361816,1.299964427947998,2.1547131538391113,12.974400520324707
blocks1.0.ffn.m.pw2.bn.running_mean,[128],0.028708087280392647,0.030999748036265373,0.035535477101802826,0.046360667794942856,0.18091630935668945
blocks1.0.ffn.m.pw2.bn.running_var,[128],0.5608404278755188,0.6000819206237793,0.06095960736274719,0.09233874082565308,0.5550110340118408
blocks1.1.conv.m.bn.running_mean,[128],0.1240282654762268,0.12325441092252731,0.00512805487960577,0.007579200901091099,0.029749751091003418
blocks1.1.conv.m.bn.running_var,[128],0.8662850856781006,0.9354078769683838,0.08515216410160065,0.14810489118099213,0.7852933406829834
blocks1.1.ffn.m.pw1.bn.running_mean,[256],-0.9066187143325806,-0.9066325426101685,0.00037953542778268456,0.0004613515338860452,0.001139998435974121
blocks1.1.ffn.m.pw1.bn.running_var,[256],9.08808422088623,9.079936027526855,0.8358625769615173,1.3171336650848389,7.276579856872559
blocks1.1.ffn.m.pw2.bn.running_mean,[128],0.00711738271638751,0.005964887328445911,0.03148873150348663,0.041200824081897736,0.13403698801994324
blocks1.1.ffn.m.pw2.bn.running_var,[128],0.7258151769638062,0.7986618876457214,0.10967020690441132,0.21202394366264343,1.956796646118164
patch_embed.0.bn.running_mean,[16],-0.00027942704036831856,-9.494251571595669e-06,0.016753803938627243,0.04282929375767708,0.1228962391614914
patch_embed.0.bn.running_var,[16],0.15873666107654572,0.1524887979030609,0.03320763260126114,0.04398127645254135,0.11196655035018921
patch_embed.2.bn.running_mean,[32],-2.3328723907470703,-2.3612167835235596,0.04822082817554474,0.07058048993349075,0.28165674209594727
patch_embed.2.bn.running_var,[32],3.857881546020508,4.154627799987793,0.6785442233085632,1.028666377067566,2.862107276916504
patch_embed.4.bn.running_mean,[64],-0.7829546332359314,-0.7831103801727295,0.08119983226060867,0.14165645837783813,0.6654216051101685
patch_embed.4.bn.running_var,[64],10.403345108032227,10.699905395507812,1.342033863067627,2.6610665321350098,15.490472793579102
patch_embed.6.bn.running_mean,[128],-1.4274218082427979,-1.4016441106796265,0.2084311544895172,0.3138425648212433,1.4565067291259766
patch_embed.6.bn.running_var,[128],22.18081283569336,22.24827766418457,2.232006549835205,3.8229706287384033,13.98996353149414
