model,dataset,feature,samples,classes,silhouette,fisher_ratio,nearest_centroid_acc,knn_acc,linear_probe_acc
shvit,imagenet200,patch_embed,8000,200,-0.25043928623199463,0.36347803498377246,0.133375,0.09875,0.19625
shvit,imagenet200,blocks1,8000,200,-0.17600630223751068,0.3260817851981051,0.2135,0.1325,0.23125
shvit,imagenet200,blocks2,8000,200,-0.061845436692237854,0.4229698141931807,0.48775,0.34375,0.5108333333333334
shvit,imagenet200,blocks3,8000,200,0.08848529309034348,0.5960196108424298,0.8105,0.8354166666666667,0.8720833333333333
shvit,imagenet200,pooled,8000,200,0.08848529309034348,0.5960196108424298,0.8105,0.8354166666666667,0.8720833333333333
shvit,imagenet200,logits,8000,200,0.2827293574810028,0.8946493161852147,0.906,0.85375,0.8679166666666667
dhvit,imagenet200,patch_embed,8000,200,-0.23449274897575378,0.35595456033093814,0.149875,0.09875,0.2075
dhvit,imagenet200,blocks1,8000,200,-0.21208442747592926,0.29221165852433306,0.1835,0.11875,0.22
dhvit,imagenet200,blocks2_A,8000,200,-0.060001976788043976,0.4019403579680375,0.487,0.32166666666666666,0.48833333333333334
dhvit,imagenet200,blocks2_B,8000,200,-0.060017842799425125,0.40152281389817956,0.482375,0.32708333333333334,0.495
dhvit,imagenet200,blocks3_A,8000,200,0.0849585235118866,0.48013948256513905,0.89225,0.7941666666666667,0.8725
dhvit,imagenet200,blocks3_B,8000,200,0.07019998878240585,0.473960199474673,0.86625,0.7879166666666667,0.86875
dhvit,imagenet200,feat_A,8000,200,0.0849585235118866,0.48013948256513905,0.89225,0.7941666666666667,0.8725
dhvit,imagenet200,feat_B,8000,200,0.07019998878240585,0.473960199474673,0.86625,0.7879166666666667,0.86875
dhvit,imagenet200,feat_mean,8000,200,0.09090577811002731,0.4781697440116436,0.896625,0.7991666666666667,0.8691666666666666
dhvit,imagenet200,logits_ensemble,8000,200,0.18276730179786682,0.8581379508374747,0.8915,0.815,0.8566666666666667
shvit,imagenetr,patch_embed,8000,200,-0.24944283068180084,0.12129120778135631,0.054875,0.02625,0.06333333333333334
shvit,imagenetr,blocks1,8000,200,-0.2086949497461319,0.12392300107190644,0.074625,0.03875,0.08208333333333333
shvit,imagenetr,blocks2,8000,200,-0.10152296721935272,0.1600099631106784,0.230625,0.10291666666666667,0.2175
shvit,imagenetr,blocks3,8000,200,-0.05880875512957573,0.16505858383748906,0.467375,0.28708333333333336,0.40875
shvit,imagenetr,pooled,8000,200,-0.05880875512957573,0.16505858383748906,0.467375,0.28708333333333336,0.40875
shvit,imagenetr,logits,8000,200,-0.02676074206829071,0.20433927078262662,0.491375,0.30416666666666664,0.40208333333333335
dhvit,imagenetr,patch_embed,8000,200,-0.2428690791130066,0.12059162534651689,0.054125,0.02625,0.06291666666666666
dhvit,imagenetr,blocks1,8000,200,-0.20956403017044067,0.1193533872587982,0.07025,0.03958333333333333,0.07333333333333333
dhvit,imagenetr,blocks2_A,8000,200,-0.10911495238542557,0.14519839889165528,0.21475,0.09125,0.20583333333333334
dhvit,imagenetr,blocks2_B,8000,200,-0.10870994627475739,0.1452423972637208,0.215625,0.08916666666666667,0.20791666666666667
dhvit,imagenetr,blocks3_A,8000,200,-0.06945052742958069,0.1322986732424892,0.461,0.21041666666666667,0.34708333333333335
dhvit,imagenetr,blocks3_B,8000,200,-0.07453449070453644,0.1284500137594125,0.432125,0.20875,0.3545833333333333
dhvit,imagenetr,feat_A,8000,200,-0.06945052742958069,0.1322986732424892,0.461,0.21041666666666667,0.34708333333333335
dhvit,imagenetr,feat_B,8000,200,-0.07453449070453644,0.1284500137594125,0.432125,0.20875,0.3545833333333333
dhvit,imagenetr,feat_mean,8000,200,-0.06737857311964035,0.13223966180621893,0.46375,0.22208333333333333,0.35583333333333333
dhvit,imagenetr,logits_ensemble,8000,200,-0.06437639147043228,0.19793114386874888,0.45425,0.24333333333333335,0.3475
